pos,joint,obb_center_x,obb_center_y,obb_center_z,obb_axis_x1,obb_axis_y1,obb_axis_z1,obb_axis_x2,obb_axis_y2,obb_axis_z2,obb_axis_x3,obb_axis_y3,obb_axis_z3,obb_half_length_x,obb_half_length_y,obb_half_length_z
2,10,1.6921,-0.0678,0.4546,1.0000,0.0053,0.0000,-0.0053,1.0000,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
3,0,1.3548,-0.0030,0.4400,1.0000,0.0071,0.0000,-0.0071,1.0000,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
3,1,1.3629,-0.0001,0.6052,1.0000,0.0071,0.0000,-0.0071,1.0000,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
3,2,1.4392,-0.0598,0.5173,1.0000,0.0071,0.0000,-0.0071,1.0000,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
3,3,1.4629,-0.2364,0.5889,1.0000,0.0071,0.0000,-0.0071,1.0000,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
3,4,1.5813,-0.2821,0.5062,1.0000,0.0071,0.0000,-0.0071,1.0000,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
3,5,1.7480,-0.1441,0.6614,1.0000,0.0071,0.0000,-0.0071,1.0000,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
3,6,1.8408,-0.1239,0.4265,1.0000,0.0071,0.0000,-0.0071,1.0000,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
3,7,1.9496,-0.1147,0.4491,1.0000,0.0071,0.0000,-0.0071,1.0000,0.0000,0.0000,0.0000,1.0000,0.1624,0.1625,0.0548
3,8,1.9767,-0.0714,0.4472,1.0000,0.0071,0.0000,-0.0071,1.0000,0.0000,0.0000,0.0000,1.0000,0.0831,0.2046,0.1050
3,9,2.0066,-0.0048,0.4544,1.0000,0.0071,0.0000,-0.0071,1.0000,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
3,10,2.0509,-0.0644,0.4546,1.0000,0.0071,0.0000,-0.0071,1.0000,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
4,0,1.7197,-0.0002,0.4400,1.0000,0.0088,0.0000,-0.0088,1.0000,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
4,1,1.7278,0.0028,0.6052,1.0000,0.0088,0.0000,-0.0088,1.0000,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
4,2,1.8042,-0.0569,0.5173,1.0000,0.0088,0.0000,-0.0088,1.0000,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
4,3,1.8281,-0.2334,0.5889,1.0000,0.0088,0.0000,-0.0088,1.0000,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
4,4,1.9466,-0.2788,0.5062,1.0000,0.0088,0.0000,-0.0088,1.0000,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
4,5,2.1130,-0.1406,0.6614,1.0000,0.0088,0.0000,-0.0088,1.0000,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
4,6,2.2059,-0.1202,0.4265,1.0000,0.0088,0.0000,-0.0088,1.0000,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
4,7,2.3147,-0.1109,0.4491,1.0000,0.0088,0.0000,-0.0088,1.0000,0.0000,0.0000,0.0000,1.0000,0.1624,0.1625,0.0548
4,8,2.3417,-0.0675,0.4472,1.0000,0.0088,0.0000,-0.0088,1.0000,0.0000,0.0000,0.0000,1.0000,0.0831,0.2046,0.1050
4,9,2.3714,-0.0009,0.4544,1.0000,0.0088,0.0000,-0.0088,1.0000,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
4,10,2.4158,-0.0604,0.4546,1.0000,0.0088,0.0000,-0.0088,1.0000,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
5,0,2.0904,0.0032,0.4400,0.9999,0.0102,0.0000,-0.0102,0.9999,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
5,1,2.0984,0.0062,0.6052,0.9999,0.0102,0.0000,-0.0102,0.9999,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
5,2,2.1749,-0.0533,0.5173,0.9999,0.0102,0.0000,-0.0102,0.9999,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
5,3,2.1991,-0.2298,0.5889,0.9999,0.0102,0.0000,-0.0102,0.9999,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
5,4,2.3177,-0.2751,0.5062,0.9999,0.0102,0.0000,-0.0102,0.9999,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
5,5,2.4839,-0.1365,0.6614,0.9999,0.0102,0.0000,-0.0102,0.9999,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
5,6,2.5767,-0.1161,0.4265,0.9999,0.0102,0.0000,-0.0102,0.9999,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
5,7,2.6855,-0.1066,0.4491,0.9999,0.0102,0.0000,-0.0102,0.9999,0.0000,0.0000,0.0000,1.0000,0.1624,0.1625,0.0548
5,8,2.7125,-0.0631,0.4472,0.9999,0.0102,0.0000,-0.0102,0.9999,0.0000,0.0000,0.0000,1.0000,0.0831,0.2046,0.1050
5,9,2.7421,0.0035,0.4544,0.9999,0.0102,0.0000,-0.0102,0.9999,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
5,10,2.7866,-0.0560,0.4546,0.9999,0.0102,0.0000,-0.0102,0.9999,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
6,0,2.4665,0.0073,0.4400,0.9999,0.0119,0.0000,-0.0119,0.9999,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
6,1,2.4746,0.0103,0.6052,0.9999,0.0119,0.0000,-0.0119,0.9999,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
6,2,2.5512,-0.0491,0.5173,0.9999,0.0119,0.0000,-0.0119,0.9999,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
6,3,2.5757,-0.2255,0.5889,0.9999,0.0119,0.0000,-0.0119,0.9999,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
6,4,2.6943,-0.2706,0.5062,0.9999,0.0119,0.0000,-0.0119,0.9999,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
6,5,2.8603,-0.1318,0.6614,0.9999,0.0119,0.0000,-0.0119,0.9999,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
6,6,2.9530,-0.1112,0.4265,0.9999,0.0119,0.0000,-0.0119,0.9999,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
6,7,3.0618,-0.1015,0.4491,0.9999,0.0119,0.0000,-0.0119,0.9999,0.0000,0.0000,0.0000,1.0000,0.1624,0.1625,0.0548
6,8,3.0887,-0.0580,0.4472,0.9999,0.0119,0.0000,-0.0119,0.9999,0.0000,0.0000,0.0000,1.0000,0.0831,0.2046,0.1050
6,9,3.1182,0.0087,0.4544,0.9999,0.0119,0.0000,-0.0119,0.9999,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
6,10,3.1628,-0.0507,0.4546,0.9999,0.0119,0.0000,-0.0119,0.9999,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
7,0,2.8477,0.0121,0.4400,0.9999,0.0134,0.0000,-0.0134,0.9999,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
7,1,2.8558,0.0151,0.6052,0.9999,0.0134,0.0000,-0.0134,0.9999,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
7,2,2.9325,-0.0442,0.5173,0.9999,0.0134,0.0000,-0.0134,0.9999,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
7,3,2.9572,-0.2206,0.5889,0.9999,0.0134,0.0000,-0.0134,0.9999,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
7,4,3.0760,-0.2655,0.5062,0.9999,0.0134,0.0000,-0.0134,0.9999,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
7,5,3.2417,-0.1265,0.6614,0.9999,0.0134,0.0000,-0.0134,0.9999,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
7,6,3.3344,-0.1057,0.4265,0.9999,0.0134,0.0000,-0.0134,0.9999,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
7,7,3.4432,-0.0959,0.4491,0.9999,0.0134,0.0000,-0.0134,0.9999,0.0000,0.0000,0.0000,1.0000,0.1624,0.1625,0.0548
7,8,3.4700,-0.0523,0.4472,0.9999,0.0134,0.0000,-0.0134,0.9999,0.0000,0.0000,0.0000,1.0000,0.0831,0.2046,0.1050
7,9,3.4994,0.0144,0.4544,0.9999,0.0134,0.0000,-0.0134,0.9999,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
7,10,3.5441,-0.0449,0.4546,0.9999,0.0134,0.0000,-0.0134,0.9999,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
8,0,3.2335,0.0175,0.4400,0.9999,0.0152,0.0000,-0.0152,0.9999,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
8,1,3.2415,0.0205,0.6052,0.9999,0.0152,0.0000,-0.0152,0.9999,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
8,2,3.3183,-0.0386,0.5173,0.9999,0.0152,0.0000,-0.0152,0.9999,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
8,3,3.3434,-0.2149,0.5889,0.9999,0.0152,0.0000,-0.0152,0.9999,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
8,4,3.4622,-0.2596,0.5062,0.9999,0.0152,0.0000,-0.0152,0.9999,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
8,5,3.6277,-0.1203,0.6614,0.9999,0.0152,0.0000,-0.0152,0.9999,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
8,6,3.7204,-0.0994,0.4265,0.9999,0.0152,0.0000,-0.0152,0.9999,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
8,7,3.8292,-0.0894,0.4491,0.9999,0.0152,0.0000,-0.0152,0.9999,0.0000,0.0000,0.0000,1.0000,0.1624,0.1625,0.0548
8,8,3.8559,-0.0457,0.4472,0.9999,0.0152,0.0000,-0.0152,0.9999,0.0000,0.0000,0.0000,1.0000,0.0831,0.2046,0.1050
8,9,3.8852,0.0210,0.4544,0.9999,0.0152,0.0000,-0.0152,0.9999,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
8,10,3.9300,-0.0382,0.4546,0.9999,0.0152,0.0000,-0.0152,0.9999,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
9,0,3.6231,0.0237,0.4400,0.9999,0.0168,0.0000,-0.0168,0.9999,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
9,1,3.6311,0.0267,0.6052,0.9999,0.0168,0.0000,-0.0168,0.9999,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
9,2,3.7081,-0.0323,0.5173,0.9999,0.0168,0.0000,-0.0168,0.9999,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
9,3,3.7334,-0.2086,0.5889,0.9999,0.0168,0.0000,-0.0168,0.9999,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
