pos,joint,obb_center_x,obb_center_y,obb_center_z,obb_axis_x1,obb_axis_y1,obb_axis_z1,obb_axis_x2,obb_axis_y2,obb_axis_z2,obb_axis_x3,obb_axis_y3,obb_axis_z3,obb_half_length_x,obb_half_length_y,obb_half_length_z
0,0,0.0,0.0,0.07675,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.084,0.089,0.1535
0,1,0.0,0.0,0.23349999999999999,0.9517324310555171,-0.3069289489069994,0.0,0.3069289489069994,0.9517324310555171,0.0,0.0,0.0,1.0,0.1,0.091,0.16
0,2,0.1863842977883555,0.029637254854987437,0.3595187217834112,0.8615697003400608,0.4043417759504728,-0.3069289489069994,0.2778519192019293,0.13039820042071132,0.9517324310555171,0.42484816399714187,-0.9052646229408601,6.123233995736766e-17,0.494,0.083,0.053
0,3,0.40795010625923167,0.14627188564568744,0.3956258542332878,-0.7375441800563094,0.30692894890699945,0.601517416861649,-0.23785430922648973,-0.9517324310555171,0.1939863584367335,0.632023662569255,-1.3780393913352345e-17,0.7749490886197262,0.25,0.064,0.1
0,4,0.5262467483751112,0.1906564985404208,0.2830133233730823,-0.9351951688272516,0.2545450432225482,0.24620482768012333,0.35011888193195,0.7689626706672874,0.5348954847771237,-0.053167327531948104,0.5864326321846898,-0.8082512005509467,0.072,0.064,0.096
0,5,0.5247218077262591,0.23311153041885127,0.21137507943431705,-0.035487650167154466,0.995372182859516,0.08930198360112745,-0.7821146983917782,0.02796508481262916,-0.6225066687120391,-0.6221231592258495,-0.09193569285595689,0.7775027994380107,0.084,0.066,0.1
0,6,0.5180315444807939,0.20842805480549598,0.13143248922556533,-0.735513233097931,-0.6727357046862789,0.08029293604099967,0.6638800142137955,-0.6919843677645368,0.28358589791631883,-0.13521690229153632,0.2618860561575778,0.9555794487769769,0.092,0.116,0.11
1,0,0.0,0.0,0.07675,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.084,0.089,0.1535
1,1,0.0,0.0,0.23349999999999999,0.7812510350013033,-0.6242169657333837,0.0,0.6242169657333837,0.7812510350013033,0.0,0.0,0.0,1.0,0.1,0.091,0.16
1,2,-0.14204763927355626,-0.15061553982675135,0.25164251146369193,-0.777426850872934,-0.07720538344183414,-0.6242169657333837,-0.6211614553966678,-0.061686843320807636,0.7812510350013033,-0.0988227598849906,0.995105050800524,6.123233995736766e-17,0.494,0.083,0.053
1,3,-0.36106325908063847,-0.27056836093762116,0.2989556616691236,0.4197401587808524,0.6242169657333837,-0.658916822366247,0.33537098393757053,-0.7812510350013033,-0.5264723387245888,-0.8434124152746214,-9.413043665708692e-17,-0.537266691467682,0.25,0.064,0.1
